"Project.ID","Project.Activity.ID","Activity.ID","Site.IDs","Start.date","End.date","Description","Status","Attribution","Latitude","Longitude","Assessor_name","Date.image.assessment.completed","Overall_condition_score","Comments","Ecosystem.image.s.","MVG.Group","Huchinson.Group","Indicate.whether.you.have.completed.this.assessment","Condition.Rating.Upper","Condition.Rating.Lower","ImageName"
"405fdfe2-c22c-46c6-806d-cc7f644a0824","1108d1a3-9753-47e0-b18c-ed6715c4f44b","4c836088-d0e4-4b5a-b6c1-a564b7f295b8","25b665a4-2f1c-4def-9791-8e0183b5d669","27/10/2016",NA,"Assessment of images of biomes to enable moderation of ecological condition scores.","active","Commonwealth Department of the Environment and Energy. (2018) Image Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 22/11/2018, 23:01.",NA,NA,"23","29/10/2018",0.2,NA,"https://biocollect.ala.org.au/image?id=3_MW003.JPG","Open forest and woodlands","B2 - Tas highlands","Yes",0.2,0.1,"MW003.jpg"
"405fdfe2-c22c-46c6-806d-cc7f644a0824","1108d1a3-9753-47e0-b18c-ed6715c4f44b","cbfc152d-81d4-44ac-8618-454f7b2bba9b","25b665a4-2f1c-4def-9791-8e0183b5d669","27/10/2016",NA,"Assessment of images of biomes to enable moderation of ecological condition scores.","active","Commonwealth Department of the Environment and Energy. (2018) Image Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 22/11/2018, 23:01.",NA,NA,"28","26/10/2018",0.8,"Ground survey shows this is a high value, rare diverse native understorey (evident from wildflower layer in image) including threatened plant species , partly cleared young, maturing tree layer, some sub-shrubs and eucalypt recruitment evident","https://biocollect.ala.org.au/image?id=18_SP_MVG5_11_005.JPG","Open forest and woodlands","D5 - Tas lowlands, southern Vic, southern and northern Tablelands NSW","Yes",0.9,0.7,"SP_MVG5_11_005.jpg"
"405fdfe2-c22c-46c6-806d-cc7f644a0824","1108d1a3-9753-47e0-b18c-ed6715c4f44b","66235f06-333c-4ab1-a1e7-7cc62e7e1afb","25b665a4-2f1c-4def-9791-8e0183b5d669","27/10/2016",NA,"Assessment of images of biomes to enable moderation of ecological condition scores.","active","Commonwealth Department of the Environment and Energy. (2018) Image Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 22/11/2018, 23:01.",NA,NA,"27","30/10/2018",0.4,"Ground layer weed dominated, determining overall score.  Lower bound due to uncertainty about whether tree regeneration is occurring after the fire.","https://biocollect.ala.org.au/image?id=15_RP_P1060725.JPG","Open forest and woodlands","B1 - Alpine areas of NSW, Vic and Tas","Yes",0.4,0.1,"RP_P1060725.jpg"
"405fdfe2-c22c-46c6-806d-cc7f644a0824","1108d1a3-9753-47e0-b18c-ed6715c4f44b","9de8a1be-ca3a-47e5-b070-497c4a1e3cee","25b665a4-2f1c-4def-9791-8e0183b5d669","27/10/2016",NA,"Assessment of images of biomes to enable moderation of ecological condition scores.","active","Commonwealth Department of the Environment and Energy. (2018) Image Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 22/11/2018, 23:01.",NA,NA,"25","24/10/2018",0.4,"Recently burnt with some return of shrub and ground layer species with resprouting of the canopy species.","https://biocollect.ala.org.au/image?id=6_SP_MVG14_008.JPG","shrublands","E2 - Inland of E1 in southwest WA, southern SA, northwest Vic and southern NSW","Yes",0.5,0.3,"SP_MVG14_008.jpg"
"405fdfe2-c22c-46c6-806d-cc7f644a0824","1108d1a3-9753-47e0-b18c-ed6715c4f44b","b925d6ea-4ca0-4753-8864-74dc27c1fc8c","25b665a4-2f1c-4def-9791-8e0183b5d669","27/10/2016",NA,"Assessment of images of biomes to enable moderation of ecological condition scores.","active","Commonwealth Department of the Environment and Energy. (2018) Image Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 22/11/2018, 23:01.",NA,NA,"26","3/09/2018",0.95,"Wide bounds- much that can't be seen after fire.","https://biocollect.ala.org.au/image?id=19_RP_DSC_0243.JPG","shrublands","E2 - Inland of E1 in southwest WA, southern SA, northwest Vic and southern NSW","Yes",1,0.4,"RP_DSC_0243.jpg"
"405fdfe2-c22c-46c6-806d-cc7f644a0824","1108d1a3-9753-47e0-b18c-ed6715c4f44b","ff176b2a-dd88-4d82-9ec4-0213aa655674","25b665a4-2f1c-4def-9791-8e0183b5d669","27/10/2016",NA,"Assessment of images of biomes to enable moderation of ecological condition scores.","active","Commonwealth Department of the Environment and Energy. (2018) Image Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 22/11/2018, 23:01.",NA,NA,"28","26/10/2018",0.6,"High value mature trees, depauperate  native tussock grass understorey, limited eucalypt recruitment or habitat structure apart from trees","https://biocollect.ala.org.au/image?id=34_SP_MVG5_11_016.JPG","Open forest and woodlands","D5 - Tas lowlands, southern Vic, southern and northern Tablelands NSW","Yes",0.7,0.5,"SP_MVG5_11_016.jpg"
"405fdfe2-c22c-46c6-806d-cc7f644a0824","1108d1a3-9753-47e0-b18c-ed6715c4f44b","b1cae59a-1007-47a1-a664-9d5eef0298f3","25b665a4-2f1c-4def-9791-8e0183b5d669","27/10/2016",NA,"Assessment of images of biomes to enable moderation of ecological condition scores.","active","Commonwealth Department of the Environment and Energy. (2018) Image Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 22/11/2018, 23:01.",NA,NA,"28","26/10/2018",0.4,"High value, somewhat sparse mature trees; no recruitment, mostly exotic ground layer, little structure (ie highly altered ecosystem processes). Note this is the ""Rockfield"" site scored also using mapping tool.","https://biocollect.ala.org.au/image?id=21_SP_MVG5_11_022.JPG","Open forest and woodlands","D5 - Tas lowlands, southern Vic, southern and northern Tablelands NSW","Yes",0.5,0.3,"SP_MVG5_11_022.jpg"
"405fdfe2-c22c-46c6-806d-cc7f644a0824","1108d1a3-9753-47e0-b18c-ed6715c4f44b","31694981-58f7-4130-a43e-812ae292102f","25b665a4-2f1c-4def-9791-8e0183b5d669","27/10/2016",NA,"Assessment of images of biomes to enable moderation of ecological condition scores.","active","Commonwealth Department of the Environment and Energy. (2018) Image Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 22/11/2018, 23:01.",NA,NA,"27","30/10/2018",1,NA,"https://biocollect.ala.org.au/image?id=11_RP_P1060451.JPG","grasslands, sedgelands and herblands","B1 - Alpine areas of NSW, Vic and Tas","Yes",1,1,"RP_P1060451.jpg"
"405fdfe2-c22c-46c6-806d-cc7f644a0824","1108d1a3-9753-47e0-b18c-ed6715c4f44b","24ed45de-172f-4e70-93f3-479f3be53be3","25b665a4-2f1c-4def-9791-8e0183b5d669","27/10/2016",NA,"Assessment of images of biomes to enable moderation of ecological condition scores.","active","Commonwealth Department of the Environment and Energy. (2018) Image Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 22/11/2018, 23:01.",NA,NA,"27","30/10/2018",0.3,"Lack of understorey leads to low assessment, presence of tree and shrub layer gives it some rating.","https://biocollect.ala.org.au/image?id=5_Donohue_001.JPG","Open forest and woodlands","E4 - sub-tropical and continental eastern Australia and associated with Brigalow belt Qld, NSW","Yes",0.4,0.2,"Donohue_001.jpg"
"405fdfe2-c22c-46c6-806d-cc7f644a0824","1108d1a3-9753-47e0-b18c-ed6715c4f44b","aeb501f1-fec7-4abd-9cf3-43838bdbafd6","25b665a4-2f1c-4def-9791-8e0183b5d669","27/10/2016",NA,"Assessment of images of biomes to enable moderation of ecological condition scores.","active","Commonwealth Department of the Environment and Energy. (2018) Image Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 22/11/2018, 23:01.",NA,NA,"25","24/10/2018",0.4,"The lack of live canopy influences the overall condition score for this site.  The shrub layer looks okay but the ground layer plants are still quite sparse.","https://biocollect.ala.org.au/image?id=7_SP_MVG14_008.JPG","shrublands","E2 - Inland of E1 in southwest WA, southern SA, northwest Vic and southern NSW","Yes",0.5,0.3,"SP_MVG14_008.jpg"
