location,Project.ID,Project.Activity.ID,Activity.ID,Site.IDs,Start.date,End.date,Description,Status,Attribution,Latitude,Longitude,Assessor_name,Date.record.entered,Assessment.date,Assessment.date.accuracy,assessmentPeriodStartDate,assessmentPeriodStartDateAccuracy,Assessment.end.date,Assessment.end.date.accuracy,Overall.Condition.Rating,disturbancePercentTotal,Comments,Condition.Rating.Upper,Condition.Rating.Lower,Condition.Element.Native.species.diversity.and.composition,Condition.Element.Life.form.diversity,Condition.Element.Vegetation.age.and.structure,Condition.Element.Nativeness,Condition.Element.Groundcover,Pct.Disturbance.contrib.Invasive.flora,Pct.Disturbance.contrib.Invasive.fauna,Pct.Disturbance.contrib.Native.fauna.grazing,Pct.Disturbance.contrib.Feral.livestock.grazing,Pct.Disturbance.contrib.Disease,Pct.Disturbance.contrib.Veg.clearance.fragmentation,Pct.Disturbance.contrib.Fire.regime.change,Pct.Disturbance.contrib.Climate.change,Pct.Disturbance.contrib.Nutrient.enrichment,Pct.Disturbance.contrib.Soil.degradation.deposition,Pct.Disturbance.contrib.Hydrological.change,decimalLatitude,decimalLongitude
00592e05-5192-497c-9e8d-48dbde827811,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,57afe5b2-3389-4228-a47b-a4d81ff6e25e,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,14,6/11/2018,24/03/2012,Accurate to day,NA,NA,24/03/2012,Accurate to day,0.7,100,"Plain. No evidence of fire, but areas close by burnt within previous 3-4 years.  Lots of Mulga ant nests with echidnas but more likely goannas digging into mounds. No evidence of grazing. Weed impact low- some patches of Cenchrus ciliaris

Acacia aptaneura tall shrubland with scattered emergent Corymbia opaca. A tussock grass understratum of Paraneurachne muelleri. Some scattered sparse clumps of Triodia schinzii in more open areas.",0.8,0.6,0.8,0.8,0.8,0.7,0.8,90,0,10,0,0,0,0,0,0,0,0,-22.28870429,133.6137539
008ef6d6-1f89-44ca-8b56-2fdd45f02607,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,431f0070-7a28-4a9c-83ea-8afdb16840b4,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,7,30/10/2018,1/08/2017,Accurate to month,NA,NA,NA,NA,0.9,NA,NA,0.95,0.8,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,-30.48842773,152.4093976
015e0426-04a9-45f3-a3fe-dfe9948d508e,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,732f50b2-3dd4-4382-8c1b-23370b9f9eb4,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,14,29/10/2018,25/09/2018,Accurate to day,NA,NA,25/09/2018,Accurate to day,0.4,100,Remnant Eucalyptus socialis woodland surrounded by intensive agricultral land- croping and grazing. Sits on relict sanddue. Burnt in 2015,0.6,0.05,0.5,0.8,0.8,0.5,0.4,75,5,10,0,0,5,5,0,0,0,0,-34.50424019,138.7038517
029ffbac-5fae-497b-8b43-2c7af5f33b3d,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,5ad83c03-fee2-4a17-8fe9-d67ea7ee3748,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,7,30/10/2018,1/10/2015,Accurate to month,NA,NA,1/10/2016,Accurate to month,0.2,100,"Historic landclearing, introduced pasture species, little-to-no woody regeneration, active grazing, reduced native flora diversity.",0,0,0.3,0.1,0.1,0.3,0.8,20,0,0,30,0,50,0,0,0,0,0,-30.92150221,153.02936
02dc630d-4284-435c-9446-e3efb08023eb,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,04968d66-d970-41dd-9038-c3122a4cd26a,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,21,31/10/2018,30/10/2018,Accurate to day,NA,NA,NA,NA,0.6,NA,NA,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,-35.25204189,149.168914
03b48f73-35f7-41cd-962f-efb9c1806ae1,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,a32c0b62-2b2f-4a1c-8441-a5976e13525f,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,21,31/10/2018,11/10/2018,Accurate to day,NA,NA,NA,NA,0.5,NA,NA,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,-34.10464642,149.2401695
06a0ea23-25f4-42d4-91f0-beb7e0c04028,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,8bfdf37b-8cf5-40cb-b0d5-df4b31fe07e6,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,21,31/10/2018,30/11/1996,Accurate to month,NA,NA,30/11/2016,Accurate to month,0.5,NA,NA,0.5,0.3,0.5,0.4,0.3,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,-35.21685196,148.849141
07c9e3c5-3ffc-4bc3-b7ef-82f7c27754ec,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,62e6e275-0399-48fe-a3b1-678767e8d534,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,14,6/11/2018,13/09/2016,Accurate to day,NA,NA,13/09/2016,Accurate to day,0.8,100,"Plot sits inside large Kangaoo excloure. Highly diverse ( 100+ species) site with some low level impacts from introduced plant speices. 
Atriplex vesicaria mixed low sparse chenopod shrubland to Calandrinia eremaea/Sonchus oleraceus/ Plantago drummondii  low sparse forbland land with emergent Casuarina pauper on western edge.",1,0.7,1,1,0.9,0.7,1,100,0,0,0,0,0,0,0,0,0,0,-31.07966312,141.6979668
0805a89c-4915-4e79-ace2-83850b6df800,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,7eaad9f6-5091-4cca-b76b-e64375a6ac8b,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,21,31/10/2018,11/10/2018,Accurate to day,NA,NA,NA,NA,0.7,100,NA,0.8,0.6,0.7,0.7,0.7,0.7,0.7,0,0,0,40,0,0,60,0,0,0,0,-34.12075981,149.2060089
08a78436-3911-4203-a2f4-8d1c9e6b4676,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,75efc64d-0693-4568-a960-0a8d70c35100,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,23,30/08/2018,1/12/2004,Accurate to month,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.65247631,145.9613737
